tareas_id;servicios_id
6016;1550
6017;1550
6018;1550
6037;1550
6038;1550
6039;1550
6046;1550
6006;1551
6013;1551
6016;1551
6017;1551
6025;1551
6037;1551
6039;1551
6040;1551
6041;1551
6042;1551
6043;1551
6045;1551
6050;1551
6003;1552
6006;1552
6013;1552
6015;1552
6016;1552
6017;1552
6018;1552
6021;1552
6024;1552
6026;1552
6034;1552
6037;1552
6039;1552
6040;1552
6041;1552
6042;1552
6043;1552
6045;1552
6046;1552
6047;1552
6049;1552
6050;1552
6006;1553
6013;1553
6016;1553
6017;1553
6025;1553
6037;1553
6039;1553
6040;1553
6041;1553
6042;1553
6043;1553
6045;1553
6050;1553
6003;1554
6004;1554
6006;1554
6009;1554
6013;1554
6015;1554
6016;1554
6017;1554
6018;1554
6019;1554
6020;1554
6021;1554
6024;1554
6027;1554
6031;1554
6032;1554
6034;1554
6038;1554
6039;1554
6040;1554
6041;1554
6042;1554
6043;1554
6045;1554
6046;1554
6047;1554
6049;1554
6050;1554
6006;1555
6013;1555
6016;1555
6017;1555
6025;1555
6037;1555
6039;1555
6040;1555
6041;1555
6042;1555
6043;1555
6045;1555
6050;1555
6003;1556
6006;1556
6013;1556
6015;1556
6016;1556
6017;1556
6018;1556
6021;1556
6024;1556
6026;1556
6034;1556
6037;1556
6039;1556
6040;1556
6041;1556
6042;1556
6043;1556
6045;1556
6046;1556
6047;1556
6049;1556
6050;1556
6006;1557
6013;1557
6016;1557
6017;1557
6025;1557
6037;1557
6039;1557
6040;1557
6041;1557
6042;1557
6043;1557
6045;1557
6050;1557
6003;1558
6004;1558
6006;1558
6009;1558
6013;1558
6015;1558
6016;1558
6017;1558
6018;1558
6019;1558
6020;1558
6021;1558
6024;1558
6027;1558
6031;1558
6032;1558
6034;1558
6038;1558
6039;1558
6040;1558
6041;1558
6042;1558
6043;1558
6045;1558
6046;1558
6047;1558
6049;1558
6050;1558
6006;1559
6013;1559
6016;1559
6017;1559
6025;1559
6037;1559
6039;1559
6040;1559
6041;1559
6042;1559
6043;1559
6045;1559
6050;1559
6002;1560
6003;1560
6006;1560
6013;1560
6015;1560
6016;1560
6017;1560
6018;1560
6019;1560
6020;1560
6021;1560
6024;1560
6026;1560
6034;1560
6037;1560
6039;1560
6040;1560
6041;1560
6042;1560
6043;1560
6045;1560
6046;1560
6047;1560
6049;1560
6050;1560
6001;1561
6014;1562
6033;1563
6044;1564
6016;1565
6017;1565
6018;1565
6037;1565
6038;1565
6039;1565
6046;1565
6005;1566
6006;1566
6012;1566
6013;1566
6015;1566
6016;1566
6017;1566
6022;1566
6024;1566
6025;1566
6026;1566
6029;1566
6037;1566
6039;1566
6040;1566
6041;1566
6042;1566
6043;1566
6045;1566
6047;1566
6048;1566
6003;1567
6005;1567
6006;1567
6012;1567
6013;1567
6015;1567
6016;1567
6017;1567
6018;1567
6021;1567
6022;1567
6023;1567
6024;1567
6026;1567
6028;1567
6029;1567
6034;1567
6037;1567
6039;1567
6040;1567
6041;1567
6042;1567
6043;1567
6045;1567
6046;1567
6047;1567
6048;1567
6049;1567
6004;1568
6005;1568
6006;1568
6012;1568
6013;1568
6015;1568
6016;1568
6017;1568
6022;1568
6024;1568
6025;1568
6029;1568
6037;1568
6039;1568
6040;1568
6041;1568
6042;1568
6043;1568
6045;1568
6047;1568
6048;1568
6050;1568
6003;1569
6005;1569
6006;1569
6007;1569
6009;1569
6012;1569
6013;1569
6015;1569
6016;1569
6017;1569
6018;1569
6019;1569
6020;1569
6021;1569
6022;1569
6023;1569
6024;1569
6026;1569
6029;1569
6030;1569
6031;1569
6032;1569
6034;1569
6036;1569
6038;1569
6039;1569
6040;1569
6041;1569
6042;1569
6043;1569
6045;1569
6046;1569
6047;1569
6048;1569
6049;1569
6005;1570
6006;1570
6012;1570
6013;1570
6015;1570
6016;1570
6017;1570
6022;1570
6024;1570
6025;1570
6026;1570
6029;1570
6037;1570
6039;1570
6040;1570
6041;1570
6042;1570
6043;1570
6045;1570
6047;1570
6048;1570
6003;1571
6004;1571
6005;1571
6006;1571
6012;1571
6013;1571
6015;1571
6016;1571
6017;1571
6018;1571
6021;1571
6022;1571
6023;1571
6024;1571
6028;1571
6029;1571
6034;1571
6037;1571
6039;1571
6040;1571
6041;1571
6042;1571
6043;1571
6045;1571
6046;1571
6047;1571
6048;1571
6049;1571
6050;1571
6005;1572
6006;1572
6012;1572
6013;1572
6015;1572
6016;1572
6017;1572
6022;1572
6024;1572
6025;1572
6026;1572
6029;1572
6037;1572
6039;1572
6040;1572
6041;1572
6042;1572
6043;1572
6045;1572
6047;1572
6048;1572
